firm_id,scenario,firm_size,route_complexity_z,market_pressure_z,digital_maturity_z,trust_barrier_z,idle_capacity_risk_z,asset_pool_likert,shared_crossdock_likert,freight_sharing_likert,chartering_likert,asset_sharing_index,contract_sharing_index,horizontal_info_sharing,horizontal_joint_planning,horizontal_goal_alignment,horizontal_collaboration_index,empty_backhaul_rate,vehicle_utilization_rate,matching_success_rate,collaboration_events_per_month,service_level_on_time_rate,emissions_intensity_index,ai_coordination_score
1,baseline_sporadic,small,0.178,-1.406,0.875,0.465,0.779,1,3,2,1,2.0,1.5,3.48,2.61,1.86,3.21,0.246,0.843,0.589,6,0.856,0.948,0.0
2,baseline_sporadic,large,-1.335,-0.083,-0.65,0.306,0.792,1,2,3,2,1.5,2.5,4.61,2.66,1.72,2.44,0.124,0.82,0.696,5,0.85,0.898,0.0
3,baseline_sporadic,small,0.38,-1.505,-1.203,-0.338,-1.191,2,1,2,2,1.5,2.0,3.18,3.42,1.07,3.3,0.166,0.802,0.63,8,0.833,0.961,0.0
4,baseline_sporadic,small,0.611,0.76,-1.042,-0.455,-0.478,4,1,5,1,2.5,3.0,4.92,5.0,2.3,4.47,0.123,0.913,0.752,9,0.892,0.885,0.0
5,baseline_sporadic,small,0.56,0.082,-0.487,1.018,2.5,2,2,3,1,2.0,2.0,2.38,4.68,1.16,2.4,0.158,0.819,0.634,4,0.854,0.917,0.0
6,baseline_sporadic,small,1.081,-1.458,-0.352,0.105,0.194,3,1,2,2,2.0,2.0,4.13,4.59,2.26,4.19,0.201,0.858,0.663,6,0.864,0.977,0.0
7,baseline_sporadic,small,0.834,-0.309,-0.77,0.885,1.231,2,2,2,3,2.0,2.5,3.81,4.54,1.59,3.3,0.09,0.838,0.583,5,0.87,0.917,0.0
8,baseline_sporadic,medium,0.459,-0.752,-1.296,-0.197,-0.151,3,1,1,2,2.0,1.5,5.0,3.78,2.78,2.83,0.169,0.771,0.721,7,0.869,0.981,0.0
9,baseline_sporadic,small,-0.07,0.319,-0.456,0.763,-1.59,1,1,1,2,1.0,1.5,2.04,1.85,2.63,1.19,0.236,0.721,0.458,2,0.827,1.011,0.0
10,baseline_sporadic,small,-1.661,1.34,0.181,1.773,0.33,2,2,3,1,2.0,2.0,2.73,2.81,2.03,2.37,0.137,0.842,0.502,3,0.826,0.895,0.0
11,baseline_sporadic,small,0.43,-1.875,0.595,1.128,0.234,1,1,2,1,1.0,1.5,3.67,2.8,1.0,2.09,0.185,0.753,0.637,4,0.847,0.972,0.0
12,baseline_sporadic,large,0.208,0.115,-0.557,0.229,0.1,1,1,1,1,1.0,1.0,3.48,2.82,2.63,3.34,0.22,0.747,0.493,4,0.861,1.008,0.0
13,baseline_sporadic,medium,0.272,-0.16,-0.413,0.831,0.385,2,2,1,2,2.0,1.5,3.53,3.42,2.75,3.61,0.202,0.808,0.464,5,0.839,0.996,0.0
14,baseline_sporadic,small,-1.277,0.671,-0.927,0.383,0.764,2,1,2,1,1.5,1.5,2.76,3.78,1.87,2.46,0.178,0.739,0.62,7,0.852,0.972,0.0
15,baseline_sporadic,small,-1.081,0.213,-0.031,0.607,0.35,2,1,2,1,1.5,1.5,3.02,3.99,2.59,3.97,0.136,0.853,0.563,6,0.904,0.946,0.0
